ano,semana,distrito,ubigeo,total_casos,temp_min_semana,population,temp_min_lag1,temp_min_lag2,temp_min_lag3,temp_min_lag4,temp_min_lag5,temp_min_lag6,temp_min_lag7
2017,2,JENARO HERRERA,160510.0,0,22.670167487664283,4608,22.66917900443327,,,,,,
2017,2,LAGUNAS,160206.0,0,22.3019377313253,12033,22.36788500198731,,,,,,
2017,2,LAS AMAZONAS,160105.0,0,22.44504486495734,8032,22.59967756582092,,,,,,
2017,2,MANSERICHE,160703.0,0,20.613608886389077,8421,20.931021608588367,,,,,,
2017,2,MAQUIA,160505.0,0,22.071231510572492,7304,21.95762463187144,,,,,,
2017,2,MAZAN,160106.0,0,22.339852762469448,12181,22.40755947784581,,,,,,
2017,2,MORONA,160704.0,0,21.55930644310816,4191,21.86027306234591,,,,,,
2017,2,NAPO,160107.0,0,22.018131438517383,15003,22.37453408977684,,,,,,
2017,2,NAUTA,160301.0,0,22.464239956747928,29963,22.558715194561877,,,,,,
2017,2,PADRE MARQUEZ,160603.0,0,21.92299267765301,3697,22.04411290481657,,,,,,
2017,2,PAMPA HERMOSA,160604.0,0,19.857855273739748,5388,19.52753772345344,,,,,,
2017,2,PARINARI,160302.0,0,22.377130657061272,6085,22.352927029187896,,,,,,
2017,2,PASTAZA,160705.0,0,22.526145199299183,5078,22.14762646567732,,,,,,
2017,2,PEBAS,160402.0,0,22.089702924603003,11079,22.34474205436665,,,,,,
2017,2,PUINAHUA,160506.0,0,22.10449522386729,4372,22.301910980101045,,,,,,
2017,2,PUNCHANA,160108.0,8,22.48872156163342,75210,22.24924085014293,,,,,,
2017,2,PUTUMAYO,160801.0,0,21.968518373618583,3666,22.639759157861043,,,,,,
2017,2,RAMON CASTILLA,160401.0,3,22.454269990364786,19178,22.561358448492346,,,,,,
2017,2,REQUENA,160501.0,0,22.578576724761465,25313,22.45997341635163,,,,,,
2017,2,ROSA PANDURO,160802.0,0,21.67212285697963,520,22.29236498744605,,,,,,
2017,2,SAN JUAN BAUTISTA,160113.0,4,22.354088100158563,127005,22.38451035502874,,,,,,
2017,2,SAN PABLO,160404.0,1,22.31002000760786,10449,22.650838498314087,,,,,,
2017,2,SANTA CRUZ,160210.0,0,22.064159673028016,3967,22.135189430163877,,,,,,
2017,2,SAQUENA,160507.0,0,22.388082924257343,3365,22.19718874426535,,,,,,
2017,2,SARAYACU,160605.0,0,22.077713571038164,13464,21.960693800369636,,,,,,
2017,2,SOPLIN,160508.0,0,22.058633674172818,569,21.73552838181597,,,,,,
2017,2,TAPICHE,160509.0,0,22.293846518163544,881,22.07957674662273,,,,,,
2017,2,TENIENTE CESAR LOPEZ ROJAS,160211.0,0,21.802410986080204,5564,22.0737595761216,,,,,,
2017,2,TENIENTE MANUEL CLAVERO,160803.0,0,21.653389447299823,2317,21.75536816477902,,,,,,
2017,2,TIGRE,160303.0,0,21.92751099072889,6448,22.14005300104887,,,,,,
2017,2,TORRES CAUSANA,160110.0,0,21.73312334692545,4230,22.149040360108977,,,,,,
2017,2,TROMPETEROS,160304.0,0,21.746668743248904,8396,21.810631549330903,,,,,,
2017,2,URARINAS,160305.0,0,22.19946182382377,11545,22.27497749307641,,,,,,
2017,2,VARGAS GUERRA,160606.0,0,22.01552377656025,6467,21.580244467758668,,,,,,
