"ano","semana","distrito","total_casos","temp_min_semana","population"
2017,16,"SAN JUAN BAUTISTA",4,23.067787484582,127005
2017,16,"YURIMAGUAS",4,22.1962578517885,83554
2017,17,"BELEN",1,22.5146162725128,64488
2017,17,"IQUITOS",3,22.3401636297053,146853
2017,17,"PUTUMAYO",1,22.7207182075546,3666
2017,17,"SAN JUAN BAUTISTA",1,21.871362981683,127005
2017,17,"YAVARI",1,21.8280628734588,8366
2017,17,"YURIMAGUAS",5,21.9203917964283,83554
2017,18,"BARRANCA",1,20.18600023688,12742
2017,18,"BELEN",2,22.7451136496215,64488
2017,18,"PUNCHANA",1,22.248732381971,75210
2017,18,"SAN JUAN BAUTISTA",5,22.3494497748134,127005
2017,18,"YURIMAGUAS",9,21.7770008099477,83554
2017,19,"BARRANCA",2,20.2228445967777,12742
2017,19,"BELEN",1,23.0457139096781,64488
2017,19,"IQUITOS",3,22.8634537487005,146853
2017,19,"PUNCHANA",1,22.570702765753,75210
2017,19,"SAN JUAN BAUTISTA",8,22.9094120814507,127005
2017,19,"SAQUENA",1,22.9380228225266,3365
2017,19,"YURIMAGUAS",1,21.9225823179641,83554
2017,20,"BELEN",7,23.9386446184817,64488
2017,20,"IQUITOS",1,23.1364854131606,146853
2017,20,"MAZAN",2,23.0912105295932,12181
2017,20,"SAN JUAN BAUTISTA",2,22.8062388325584,127005
2017,20,"TIGRE",3,22.7043219810555,6448
2017,20,"YAVARI",1,23.2176921586855,8366
2017,20,"YURIMAGUAS",1,22.1436549290389,83554
2017,21,"BELEN",2,23.0595852292041,64488
2017,21,"IQUITOS",2,22.8636971655885,146853
2017,21,"YURIMAGUAS",3,21.694182666331,83554
2017,22,"BARRANCA",1,19.9450058800425,12742
2017,22,"BELEN",1,23.1427371449879,64488
2017,22,"IQUITOS",4,22.8804668160138,146853
2017,22,"PARINARI",1,22.3750216863645,6085
2017,22,"PUNCHANA",1,22.653486864048,75210
2017,22,"SAN JUAN BAUTISTA",1,22.680030237325,127005
2017,22,"YURIMAGUAS",1,21.7016889130723,83554
2017,23,"BELEN",2,23.2384853036706,64488
2017,23,"IQUITOS",2,22.8695263245675,146853
